KINETIC ERGONOMICS PROGRAM BASED ON MOVEMENT ANALYSIS FOR LONG-TERM ENDOSCOPY PRACTITIONERS,https://eposters.ddw.org/ddw/2023/ddw-2023/380094/su.young.kim.kinetic.ergonomics.program.based.on.movement.analysis.for.html?f=menu%3D16%2Abrowseby%3D8%2Asortby%3D2%2Ace_id%3D2482%2Aot_id%3D27743%2Atrend%3D19514%2Amarker%3D4154,"Kim S. May 9, 2023; Tu1060"
NOVEL PREDICTIVE FORMULA OF PROCEDURAL DIFFICULTIES IN ENDOSCOPIC SUBMUCOSAL DISSECTION FOR EARLY-STAGE GASTRIC...,https://eposters.ddw.org/ddw/2023/ddw-2023/380095/hyuga.yamada.novel.predictive.formula.of.procedural.difficulties.in.endoscopic.html?f=menu%3D16%2Abrowseby%3D8%2Asortby%3D2%2Ace_id%3D2482%2Aot_id%3D27743%2Atrend%3D19514%2Amarker%3D4154,"Yamada H. May 9, 2023; Tu1061"
TANDEM APPROACH PERFORMANCE OF ENDOSCOPIC ULTRASOUND GUIDED GASTROJEJUNOSTOMY IS A SAFE AND EFFECTIVE METHOD FOR...,https://eposters.ddw.org/ddw/2023/ddw-2023/380097/jordan.goldstein.tandem.approach.performance.of.endoscopic.ultrasound.guided.html?f=menu%3D16%2Abrowseby%3D8%2Asortby%3D2%2Ace_id%3D2482%2Aot_id%3D27743%2Atrend%3D19514%2Amarker%3D4154,"Goldstein J. May 9, 2023; Tu1063"
LOW BODY MASS INDEX (LBMI) AND THE RISK OF ENDOSCOPY RELATED ADVERSE EVENTS - A UNITED STATES (US) COHORT...,https://eposters.ddw.org/ddw/2023/ddw-2023/380098/saurabh.chandan.low.body.mass.index.28lbmi29.and.the.risk.of.endoscopy.related.html?f=menu%3D16%2Abrowseby%3D8%2Asortby%3D2%2Ace_id%3D2482%2Aot_id%3D27743%2Atrend%3D19514%2Amarker%3D4154,"Chandan S. May 9, 2023; Tu1064"
THE ACCURACY OF SNARE TIP SOFT COAGULATION APPLIED TO THE MARGIN OF POST ENDOSCOPIC MUCOSAL RESECTION DEFECTS...,https://eposters.ddw.org/ddw/2023/ddw-2023/380099/lynn.debels.the.accuracy.of.snare.tip.soft.coagulation.applied.to.the.margin.html?f=menu%3D16%2Abrowseby%3D8%2Asortby%3D2%2Ace_id%3D2482%2Aot_id%3D27743%2Atrend%3D19514%2Amarker%3D4154,"Debels L. May 9, 2023; Tu1065"
ANALYSIS OF REPORTED ADVERSE EVENTS ASSOCIATED WITH THE OVER-THE-SCOPE ENDOSCOPIC SUTURING DEVICE,https://eposters.ddw.org/ddw/2023/ddw-2023/380100/natalie.wilson.analysis.of.reported.adverse.events.associated.with.the.html?f=menu%3D16%2Abrowseby%3D8%2Asortby%3D2%2Ace_id%3D2482%2Aot_id%3D27743%2Atrend%3D19514%2Amarker%3D4154,"Wilson N. May 9, 2023; Tu1066"
OUTCOMES AND EGD PERFORMANCE PATTERNS IN PATIENTS ADMITTED FOR UGIB WITH GI MALIGNANCIES AS COMPARED TO WITHOUT...,https://eposters.ddw.org/ddw/2023/ddw-2023/380101/suhail.haddadin.outcomes.and.egd.performance.patterns.in.patients.admitted.for.html?f=menu%3D16%2Abrowseby%3D8%2Asortby%3D2%2Ace_id%3D2482%2Aot_id%3D27743%2Atrend%3D19514%2Amarker%3D4154,"Haddadin S. May 9, 2023; Tu1067"
IMPACT OF INDICATION ON COLONOSCOPY WITHDRAWAL TIME,https://eposters.ddw.org/ddw/2023/ddw-2023/380102/rachel.taylor.impact.of.indication.on.colonoscopy.withdrawal.time.html?f=menu%3D16%2Abrowseby%3D8%2Asortby%3D2%2Ace_id%3D2482%2Aot_id%3D27743%2Atrend%3D19514%2Amarker%3D4154,"Taylor R. May 9, 2023; Tu1068"
"EFFICACY AND SAFETY OF SHANKHA PRAKSHALANA, A YOGIC TECHNIQUE VERSUS POLYETHYLENE GLYCOL SOLUTION FOR BOWEL...",https://eposters.ddw.org/ddw/2023/ddw-2023/380103/manas.panigrahi.efficacy.and.safety.of.shankha.prakshalana.a.yogic.technique.html?f=menu%3D16%2Abrowseby%3D8%2Asortby%3D2%2Ace_id%3D2482%2Aot_id%3D27743%2Atrend%3D19514%2Amarker%3D4154,"Panigrahi M. May 9, 2023; Tu1069"
ANESTHESIA EFFECTS ON THE PYLORUS OF GASTROPARESIS PATIENTS,https://eposters.ddw.org/ddw/2023/ddw-2023/380104/hannah.niehaus.anesthesia.effects.on.the.pylorus.of.gastroparesis.patients.html?f=menu%3D16%2Abrowseby%3D8%2Asortby%3D2%2Ace_id%3D2482%2Aot_id%3D27743%2Atrend%3D19514%2Amarker%3D4154,"Niehaus H. May 9, 2023; Tu1070"
